"Summary","Slice ID","Issue Type","Parent (Epic)","Sprint","Assignee","Team","Labels","Story Points","Description"
"slice-13-hrms-adapter","slice-13","Story","Role Packs & Read Flows","Sprint 2","Kishor","HR — Kishor","module-integration-adapters;owner-a","5","WHAT TO BUILD:
- Mock HRMS (FastAPI) at MOCK_HRMS_URL — seeded employees, casual/sick/earned balances, leave records, HR policies
- HRMSAdapter: get_leave_balance, get_leave_status, submit_leave(employee_id,type,start,end,reason)
- Typed errors: unknown employee -> not-found result; mock unreachable -> typed backend-unavailable error
- Optional artificial delay flag on the mock

ACCEPTANCE CRITERIA (convert to checklist in Jira):
[] Mock HRMS seeded with several employees each having casual/sick/earned balances on start
[] get_leave_balance for a seeded employee_id returns structured balance (total + breakdown)
[] Unknown employee_id -> not-found result (no crash)
[] Mock service down -> adapter raises typed backend-unavailable error promptly
[] No code outside the adapter references mock-specific details (swappable later)

OUT OF SCOPE:
- Rasa wiring / chat card (slice-12, slice-14)
- Leave-request confirmation flow UI (slice-15)
- Other adapters and real HRMS integration

MOCKUP / REFERENCE: No UI surface

HUMAN REVIEW REQUIRED: No"
"slice-14-hr-leave-balance","slice-14","Story","Role Packs & Read Flows","Sprint 2","Kishor","HR — Kishor","module-hr-role-pack;ui-facing;owner-a","5","WHAT TO BUILD:
- Complete action_check_leave_balance calling HRMSAdapter.get_leave_balance, filling slots, returning template_key+slots
- Seed leave-balance response_template + variants ({total},{casual},{sick},{earned})
- HR leave-balance data card composing shared data-card component
- Verify full path: gateway -> chat-core -> dialogue-router -> Rasa-HR -> HRMSAdapter -> Mock HRMS -> response-renderer -> card

ACCEPTANCE CRITERIA (convert to checklist in Jira):
[] Employee asks leave balance in natural language -> data card renders total + casual/sick/earned breakdown
[] Persisted bot message records intent_name=check_leave_balance and a confidence
[] Employee with no HRMS record -> graceful message (no crash, no empty card)
[] Repeated asks vary wording (renderer picks a random variant)
[] Merge to main -> working flow visible in the deployed app

OUT OF SCOPE:
- Leave-request submission / multi-turn form (slice-15)
- Policy FAQ (slice-16)
- Voice / talk mode

MOCKUP / REFERENCE: docs/design/chat-view.html

HUMAN REVIEW REQUIRED: No"
"slice-17-it-rasa","slice-17","Story","Role Packs & Read Flows","Sprint 2","Rohith","IT — Rohith","module-role-pack-runtime;owner-b","5","WHAT TO BUILD:
- Rasa project for IT at RASA_IT_URL
- Seed intents (role_pack=it): check_ticket_status (dynamic_workflow) + placeholders for raise_ticket, reset_password
- ~30-50 training phrases for check_ticket_status (with ticket_id entity); a handful for others
- nlu_fallback policy
- Custom action skeleton action_check_ticket_status returning template_key + slots
- response_templates seeded with {ticket_id}/{status} placeholders

ACCEPTANCE CRITERIA (convert to checklist in Jira):
[] IT Rasa service reachable at RASA_IT_URL on start
[] Variations of 'what's the status of my ticket TKT-1234' classify check_ticket_status and extract ticket_id
[] Off-topic message fires nlu_fallback
[] DB contains IT dynamic-workflow intent(s) with training phrases and a ticket-status response template
[] action_check_ticket_status exists and returns a template_key + slots shape

OUT OF SCOPE:
- ITSM mock + adapter (slice-18)
- End-to-end ticket-status card (slice-20), ticket creation+dedupe (slice-19), password reset (slice-21)
- HR and Admissions role packs

MOCKUP / REFERENCE: No UI surface (Rasa runtime)

HUMAN REVIEW REQUIRED: No"
"slice-18-itsm-adapter","slice-18","Story","Role Packs & Read Flows","Sprint 2","Rohith","IT — Rohith","module-integration-adapters;owner-b","5","WHAT TO BUILD:
- Mock ITSM (FastAPI) at MOCK_ITSM_URL — seeded tickets, employees with stored security question/answer
- ITSMAdapter: get_ticket_status, create_ticket, verify_identity(employee_id,answer), reset_password(employee_id)
- Typed errors: unknown ticket id -> not-found; mock down -> typed backend-unavailable error

ACCEPTANCE CRITERIA (convert to checklist in Jira):
[] Mock ITSM seeded with several tickets and employees-with-security-questions on start
[] get_ticket_status for a seeded ticket_id returns status + enough fields for a status card
[] Unknown ticket_id -> not-found result (no crash)
[] Mock down -> adapter raises typed backend-unavailable error promptly
[] create_ticket, verify_identity, reset_password implemented and callable (exercised in slice-19/21)

OUT OF SCOPE:
- Rasa wiring / chat cards (slice-17, slice-20)
- Ticket-creation dedupe (slice-19), password-reset flow (slice-21)
- Other adapters and real ITSM integration

MOCKUP / REFERENCE: No UI surface

HUMAN REVIEW REQUIRED: No"
"slice-20-it-ticket-status","slice-20","Story","Role Packs & Read Flows","Sprint 2","Rohith","IT — Rohith","module-it-role-pack;ui-facing;owner-b","5","WHAT TO BUILD:
- Complete action_check_ticket_status: read ticket_id entity, call ITSMAdapter.get_ticket_status, return template_key+slots
- Seed ticket-status response_template + variants using {ticket_id}/{status}
- IT ticket-status card via shared data-card component; not-found component for invalid ticket id
- Verify full path in the deployed app

ACCEPTANCE CRITERIA (convert to checklist in Jira):
[] Valid ticket id -> status card renders with ticket id and status
[] Unknown/invalid ticket id -> not-found message with guidance (not an error/crash) (FR-11)
[] Persisted bot message records intent_name=check_ticket_status and a confidence
[] Repeated asks vary wording (random variant)
[] Merge to main -> working flow visible in the deployed app

OUT OF SCOPE:
- Ticket creation + duplicate suppression (slice-19)
- Password reset (slice-21)
- Voice / talk mode

MOCKUP / REFERENCE: docs/design/chat-view.html

HUMAN REVIEW REQUIRED: No"
"slice-22-adm-rasa","slice-22","Story","Role Packs & Read Flows","Sprint 2","Mitesh","Admissions — Mitesh","module-role-pack-runtime;owner-c","5","WHAT TO BUILD:
- Rasa project for Admissions at RASA_ADMISSIONS_URL
- Seed intents (role_pack=admissions): check_application_status (dynamic_workflow) + placeholders for get_document_checklist, ask_fee_deadline
- ~30-50 training phrases for check_application_status with application_id entity; a handful for others
- nlu_fallback policy
- Custom action skeleton action_check_application_status returning template_key + slots
- response_templates seeded with {application_id}/{status} placeholders

ACCEPTANCE CRITERIA (convert to checklist in Jira):
[] Admissions Rasa service reachable at RASA_ADMISSIONS_URL on start
[] Variations of 'what's the status of application APP-1001' classify check_application_status and extract application_id
[] Off-topic message fires nlu_fallback
[] DB contains Admissions dynamic-workflow intent(s) with training phrases and an application-status response template
[] action_check_application_status exists and returns a template_key + slots shape

OUT OF SCOPE:
- Admissions mock + adapter (slice-23)
- End-to-end application-status card (slice-24), document checklist (slice-25), fee/deadline calendar (slice-26)
- HR and IT role packs

MOCKUP / REFERENCE: No UI surface (Rasa runtime)

HUMAN REVIEW REQUIRED: No"
"slice-23-adm-adapter","slice-23","Story","Role Packs & Read Flows","Sprint 2","Mitesh","Admissions — Mitesh","module-integration-adapters;owner-c","5","WHAT TO BUILD:
- Mock Admissions (FastAPI) at MOCK_ADMISSIONS_URL — seeded applications, per-program document checklists, one configurable calendar
- AdmissionsAdapter: get_application_status, get_document_checklist(program), get_calendar()
- Typed errors: unknown application id -> not-found w/ suggested next step; mock down -> typed backend-unavailable error

ACCEPTANCE CRITERIA (convert to checklist in Jira):
[] Mock Admissions seeded with several applications, per-program checklists, and one calendar on start
[] get_application_status for a seeded application_id returns status + a suggested next step
[] Unknown application_id -> not-found result carrying a suggested next step (FR-17)
[] Mock down -> adapter raises typed backend-unavailable error promptly
[] get_document_checklist and get_calendar implemented and callable (exercised in slice-25/26)

OUT OF SCOPE:
- Rasa wiring / chat cards (slice-22, slice-24)
- Checklist list UI (slice-25), fee/deadline flow (slice-26)
- Other adapters and real Admissions integration

MOCKUP / REFERENCE: No UI surface

HUMAN REVIEW REQUIRED: No"
"slice-24-adm-app-status","slice-24","Story","Role Packs & Read Flows","Sprint 2","Mitesh","Admissions — Mitesh","module-admissions-role-pack;ui-facing;owner-c","5","WHAT TO BUILD:
- Complete action_check_application_status: read application_id entity, call AdmissionsAdapter.get_application_status, return template_key+slots
- Seed application-status response_template + variants using {application_id}/{status}
- Admissions status card via shared data-card component; not-found component with suggested next step (FR-17)
- Verify full path in the deployed app

ACCEPTANCE CRITERIA (convert to checklist in Jira):
[] Valid application status request -> status card renders with status + next step
[] Unknown application id -> graceful not-found with a suggested next step (FR-17), no crash
[] Persisted bot message records intent_name=check_application_status and a confidence
[] Repeated asks vary wording (random variant)
[] Merge to main -> working flow visible in the deployed app

OUT OF SCOPE:
- Document checklist (slice-25) and fee/deadline calendar (slice-26)
- Voice / talk mode

MOCKUP / REFERENCE: docs/design/chat-view.html

HUMAN REVIEW REQUIRED: No"
"slice-06-talk-mode","slice-06","Story","Write Workflows + Admin + Voice","Sprint 3","Tahir","Platform — Tahir","module-tts-service;needs-human-review;secrets;ui-facing;owner-d","5","WHAT TO BUILD:
- tts-service wraps Google Cloud TTS (Neural2); returns a flag instead of throwing on failure
- Extend POST /api/chat for mode:'talk' — return response_text + audio_base64 + audio_content_type + tts_available
- Talk Mode UI overlay: mic idle/listening/processing states, Web Speech STT to input bar, auto-send
- Bot responses auto-play as audio; speaker icon replays; hands-free auto-restart loop
- 'Talk mode unavailable' banner + 'Switch to text' when tts_available is false
- Text input remains usable if browser lacks Web Speech API

ACCEPTANCE CRITERIA (convert to checklist in Jira):
[] mode:'talk' request with TTS available -> response includes audio_base64, audio_content_type, tts_available:true
[] TTS credits exhausted/failure -> tts_available:false, audio_base64:null, text reply still returned (no crash)
[] Tapping mic and speaking -> transcript in input bar, auto-sends when user stops
[] Bot reply in talk mode auto-plays audio; speaker icon replays it
[] Audio playback finishes -> STT auto-restarts (hands-free loop continues)
[] tts_available:false -> 'Talk mode unavailable' banner with 'Switch to text' shown
[] Browser without Web Speech API -> text chat still works

OUT OF SCOPE:
- Server-side STT (browser does STT)
- Multi-language voices / voice-selection UI
- Changing the chat-mode contract (slice-05) beyond adding talk-mode fields

MOCKUP / REFERENCE: docs/design/talk-mode.html

HUMAN REVIEW REQUIRED: Yes"
"slice-07-admin-shell","slice-07","Story","Write Workflows + Admin + Voice","Sprint 3","Tahir","Platform — Tahir","module-admin-shell;module-audit-log;needs-human-review;ui-facing;owner-d","5","WHAT TO BUILD:
- Admin authorization: admin routes require admin role claim; scoped to own role pack (HR admin gets 403 on IT/Admissions data)
- Admin layout & nav: top bar (name+role badge+logout), side nav (Intent Mgmt, Retraining, Audit Log, Conversation Logs)
- Intent List page framework: table shell, type badges, needs-retrain badge, retrain-status banner
- audit-log service: write-only sink {actor_id, role_pack, action_type, reference_id, details}, fire-and-forget
- GET /api/admin/audit-log scoped to admin's role pack, filters + pagination
- Audit Log page: filter bar, results table with expandable JSONB details, pagination

ACCEPTANCE CRITERIA (convert to checklist in Jira):
[] Non-admin JWT on any /api/admin/* route -> 403
[] hr_admin sees HR-only nav/headers; reading IT/Admissions admin data -> 403
[] Business event via audit-log sink -> audit_log row appended with actor, role_pack, action_type, reference_id, details
[] GET /api/admin/audit-log returns only the admin's role-pack entries, honouring filters/pagination, in envelope form
[] Intent List page renders role-pack's intents with type badges, retrain-status banner, Delete disabled for Dynamic Workflows; empty/loading states render
[] Audit Log page: filter bar, expandable-detail table, and pagination work

OUT OF SCOPE:
- Intent/phrase/template/variant CRUD + Create/Edit Intent page (slice-08)
- Rephraser / Generate Similar (slice-09), retraining (slice-10), conversation logs (slice-11)

MOCKUP / REFERENCE: docs/design/admin-intent-list.html, docs/design/admin-audit-log.html

HUMAN REVIEW REQUIRED: Yes"
"slice-08-admin-intent-crud","slice-08","Story","Write Workflows + Admin + Voice","Sprint 3","Tahir","Platform — Tahir","module-admin-crud;ui-facing;owner-d","5","WHAT TO BUILD:
- Endpoints: GET/POST/PUT/DELETE /api/admin/intents[/:id], GET/PUT /api/admin/templates[/:id], PUT/DELETE /api/admin/variants/:id
- Business rules: FAQ create -> static_faq, empty available_variables, needs_retrain:true, 409 on duplicate name, 422 on validation
- PUT rename of dynamic_workflow -> 403; DELETE only static_faq (dynamic -> 403)
- Variant PUT -> 422 if placeholders missing; variant DELETE -> 400 on the original (index 0)
- RephraserClient interface + passthrough default (stores original base_text as variant index 0, no generated variants)
- Create/Edit Intent page: Mode A (dynamic workflow, read-only key+vars) and Mode B (static FAQ)
- Shared: training-phrases add/delete + Generate Similar (stubbed), Allow rephrasing toggle + variant list, Save/Cancel

ACCEPTANCE CRITERIA (convert to checklist in Jira):
[] Admin creates FAQ -> stored as static_faq w/ empty available_variables, needs_retrain:true; duplicate name -> 409; missing name/phrases -> 422
[] PUT renaming a dynamic_workflow -> 403; renaming a static_faq succeeds
[] DELETE on static_faq deletes intent+phrases+template+variants; on dynamic_workflow -> 403
[] Variant PUT dropping a base-template placeholder -> 422; variant DELETE on index 0 -> 400
[] Admin op on another role pack's resource -> 403
[] Create/Edit Intent page: Mode A shows read-only key+variable badges+unknown-variable warning; Mode B shows validated name+variable-free textarea
[] CRUD works end-to-end with the passthrough rephraser client; swaps to real generation (slice-09) with no contract change

OUT OF SCOPE:
- Real LLM variant generation and 'Generate Similar' phrase generation (slice-09)
- Retraining (slice-10)

MOCKUP / REFERENCE: docs/design/admin-create-edit-intent.html

HUMAN REVIEW REQUIRED: No"
"slice-15-hr-leave-request","slice-15","Story","Write Workflows + Admin + Voice","Sprint 3","Kishor","HR — Kishor","module-hr-role-pack;ui-facing;owner-a","5","WHAT TO BUILD:
- Rasa-HR form for submit_leave_request collecting leave_type, start_date, end_date, reason; option buttons for leave_type; date validation
- Confirmation step: summary card + Confirm/Cancel (no submission without explicit Confirm)
- On Confirm: call HRMSAdapter.submit_leave, get reference ID, render result card; fire audit event leave_submitted
- On Cancel: end workflow cleanly, nothing submitted

ACCEPTANCE CRITERIA (convert to checklist in Jira):
[] Workflow collects leave_type, start_date, end_date, reason across turns, slots persisting
[] All slots filled -> confirmation summary with Confirm/Cancel shown before any submission
[] Confirm -> leave submitted via adapter, result card shows returned reference ID
[] Cancel -> nothing submitted, workflow ends gracefully
[] Submission -> audit_log entry (leave_submitted, actor, reference id, details) written (FR-9, safety NFR)

OUT OF SCOPE:
- Leave balance (slice-14) and policy FAQ (slice-16)
- Voice / talk mode
- Admin editing of this workflow's response text (admin console, slice-08)

MOCKUP / REFERENCE: docs/design/chat-view.html

HUMAN REVIEW REQUIRED: No"
"slice-16-hr-policy-faq","slice-16","Story","Write Workflows + Admin + Voice","Sprint 3","Kishor","HR — Kishor","module-hr-role-pack;ui-facing;owner-a","5","WHAT TO BUILD:
- Seed a few HR policy FAQ intents (static_faq): WFH policy, leave policy — phrases + static templates
- ask_policy_faq-style classification in Rasa-HR resolving to the right FAQ answer via FAQ-answer component
- Verify hr_admin can create/edit a policy FAQ through the console (slice-08), scoped to HR, setting needs_retrain

ACCEPTANCE CRITERIA (convert to checklist in Jira):
[] HR policy question (e.g. WFH policy) -> bot returns the answer via the FAQ-answer component
[] hr_admin creates a new static FAQ (name+phrases+response) in console -> stored scoped to HR with needs_retrain:true
[] Low-confidence policy question -> bot asks for clarification rather than answering wrongly (FR-2 upstream)
[] Default HR policy FAQs exist and are visible in the HR admin Intent List

OUT OF SCOPE:
- LLM variant generation / Generate Similar (slice-09) and retraining execution (slice-10)
- Leave balance (slice-14) and leave request (slice-15)
- IT and Admissions content

MOCKUP / REFERENCE: docs/design/chat-view.html, docs/design/admin-create-edit-intent.html

HUMAN REVIEW REQUIRED: No"
"slice-19-it-ticket-create","slice-19","Story","Write Workflows + Admin + Voice","Sprint 3","Rohith","IT — Rohith","module-it-role-pack;ui-facing;owner-b","5","WHAT TO BUILD:
- Rasa-IT form for raise_ticket collecting category, description (reporter from auth context)
- Confirmation step (summary + Confirm/Cancel) before creating the record
- On Confirm: call ITSMAdapter.create_ticket, return ticket ID in result card; fire audit event ticket_created
- Dedupe (FR-13): record signature of just-created ticket in session; identical immediate repeat returns existing ticket

ACCEPTANCE CRITERIA (convert to checklist in Jira):
[] Workflow collects category and description across turns
[] All slots filled -> confirmation with Confirm/Cancel shown before creation
[] Confirm -> ticket created via adapter, ID shown in result card, audit_log entry (ticket_created) written
[] Identical create request immediately repeated in same session -> no second ticket created, existing ticket returned (FR-13)
[] Cancel -> no ticket created

OUT OF SCOPE:
- Ticket status (slice-20) and password reset (slice-21)
- Voice / talk mode

MOCKUP / REFERENCE: docs/design/chat-view.html

HUMAN REVIEW REQUIRED: No"
